S,1100,MUSIC LOOP TEST
S,1000,SARI
S,500,SHOOT SOUND TEST
S,200,SARI
S,100,SARI
S,100,SARI
S,100,MUSIC TEST
S,0,SARI
S,0,TELEPORT SOUND TEST
S,0,KEYBOARD TEST
C,1300,SARI,PEPIJN
C,900,SJ,PV
C,800,PV,SJ
C,750,SARI,PEPIJN
C,500,SARI,PEPIJN
C,400,SARI,SARI
C,400,SARI,PEPIJN
C,400,SARI,PEPIJN
C,400,SARI,PEPIJN
C,400,PEPIJN,SARI
V,1050,SARI,PEPIJN
V,700,SARI,PEPIJN
V,600,SARI,PEPIJN
V,200,SARI,SCORE 
V,0,SARI,SARI
V,0,SARI,POINTS
